id;name;geoid;geoname;Price;datetime
600;Precio mercado SPOT Diario;3;España;46,05;2019-11-18T06:00:00+01:00
600;Precio mercado SPOT Diario;3;España;51,73;2019-11-18T07:00:00+01:00
600;Precio mercado SPOT Diario;3;España;51,05;2019-11-18T08:00:00+01:00
600;Precio mercado SPOT Diario;3;España;52,19;2019-11-18T09:00:00+01:00
600;Precio mercado SPOT Diario;3;España;51,49;2019-11-18T10:00:00+01:00
600;Precio mercado SPOT Diario;3;España;50,45;2019-11-18T11:00:00+01:00
600;Precio mercado SPOT Diario;3;España;50,47;2019-11-18T12:00:00+01:00
600;Precio mercado SPOT Diario;3;España;50,77;2019-11-18T13:00:00+01:00
600;Precio mercado SPOT Diario;3;España;50,00;2019-11-18T14:00:00+01:00
600;Precio mercado SPOT Diario;3;España;50,45;2019-11-18T15:00:00+01:00
600;Precio mercado SPOT Diario;3;España;52,23;2019-11-18T16:00:00+01:00
600;Precio mercado SPOT Diario;3;España;54,54;2019-11-18T17:00:00+01:00
600;Precio mercado SPOT Diario;3;España;60,52;2019-11-18T18:00:00+01:00
600;Precio mercado SPOT Diario;3;España;63,05;2019-11-18T19:00:00+01:00
600;Precio mercado SPOT Diario;3;España;62,55;2019-11-18T20:00:00+01:00
600;Precio mercado SPOT Diario;3;España;59,15;2019-11-18T21:00:00+01:00
600;Precio mercado SPOT Diario;3;España;54,54;2019-11-18T22:00:00+01:00
600;Precio mercado SPOT Diario;3;España;53,79;2019-11-18T23:00:00+01:00
